UDI,Date,ID,Internal_Pressure_MPa,Battery_Charging_Current_A,coolant_temp_C,carbon_monoxide_content_gramspersec,Oil_Viscosity_cSt,Age_days,Machine_failure
1,5/6/1994,M14860,34.74796467,3.708369799,93.93283693,0.0076612,6.822525039,901,0
2,5/7/1994,M14860,36.13766178,2.280413635,95.06162219,0.0082877,7.099403651,838,0
3,5/8/1994,M14860,42.02464785,4.758938408,88.66650566,0.0088426,11.60965517,848,0
4,5/9/1994,M14860,37.03951073,2.609165603,112.0425861,0.0070705,9.176312132,931,0
5,5/10/1994,M14860,38.71967917,4.50318954,86.96234862,0.00716,7.448912498,894,0
6,5/11/1994,M14860,34.97782715,3.617500018,74.23275807,0.0075001,8.136953301,893,0
7,5/12/1994,M14860,45.36799843,4.783195317,72.44526005,0.0075896,7.865514335,893,0
8,5/13/1994,M14860,42.11017597,3.999351644,91.02311627,0.0071958,6.145369726,896,0
9,5/14/1994,M14860,46.45094421,3.329658966,80.34116802,0.0051194,9.917107248,896,0
10,5/15/1994,M14860,45.09218689,2.476826068,118.4253993,0.005012,10.28515935,867,0
11,5/16/1994,M14860,43.45099608,3.103593241,101.226869,0.0042781,6.975949716,850,0
12,5/17/1994,M14860,46.94968993,2.47087304,90.56994813,0.0079297,6.242966946,903,0
13,5/18/1994,M14860,39.65174437,3.701584549,101.5601573,0.0091469,6.78836318,878,0
14,5/19/1994,M14860,39.38352613,3.152841572,124.9699146,0.00537,11.67867386,902,0
15,5/20/1994,M14860,32.87525917,3.596880202,120.8393134,0.0035084,12.48359001,903,0
16,5/21/1994,M14860,43.87251513,2.064440423,113.2801972,0.0086636,11.15296464,923,0
17,5/22/1994,M14860,43.69923574,3.214933849,68.63355872,0.0083414,11.86312095,895,0
18,5/23/1994,M14860,47.59490381,2.312881569,77.46182387,0.0081624,9.419995516,907,0
19,5/24/1994,M14860,44.4290574,4.48954996,80.33546274,0.0097555,10.03958291,926,0
20,5/25/1994,M14860,46.33748874,4.836933417,71.75358491,0.0058175,7.050572504,885,0
21,5/26/1994,M14860,40.23203605,4.727609879,122.7149511,0.0076433,10.72920744,827,0
22,5/27/1994,M14860,36.50446629,2.47667713,86.81903703,0.0080192,6.818038276,857,0
23,5/28/1994,M14860,45.14745836,2.078821861,76.12194848,0.0054953,6.911177247,927,0
24,5/29/1994,M14860,46.24343274,3.345458075,78.26802993,0.0046003,7.026501635,930,0
25,5/30/1994,M14860,34.52967129,4.23242814,88.82884267,0.0066767,7.178926646,827,0
26,5/31/1994,M14860,38.35445518,2.717586922,91.15212793,0.0041707,6.816900747,827,0
27,6/1/1994,M14860,45.68378751,4.694044159,106.5391897,0.006981,12.17679116,828,0
28,6/2/1994,M14860,36.41781936,3.526526043,121.4965686,0.0044034,7.726484608,832,0
29,6/3/1994,M14860,33.49035722,4.757213712,103.8113427,0.0079118,11.6865439,921,0
30,6/4/1994,M14860,32.40488109,2.459341082,112.8792715,0.0053879,12.90357686,838,0
31,6/5/1994,M14860,43.80151193,4.172156628,102.4591099,0.0086278,5.698844395,828,0
32,6/6/1994,M14860,40.53877503,2.68129361,120.5991857,0.0045645,8.228576754,828,0
33,6/7/1994,M14860,32.71280516,2.56213038,105.7347198,0.0086457,5.216754637,912,0
34,6/8/1994,M14860,46.34130296,2.219302569,108.9491851,0.0058175,11.92088333,840,0
35,6/9/1994,M14860,41.56408509,4.348955987,110.430318,0.0062113,12.94154688,840,0
36,6/10/1994,M14860,39.99986023,4.923817331,88.81758947,0.0086994,10.85411143,861,0
37,6/11/1994,M14860,44.31271997,3.531948216,87.58315878,0.0065693,10.69758649,847,0
38,6/12/1994,M14860,44.99315409,3.040292434,105.1712195,0.0070168,8.774438252,888,0
39,6/13/1994,M14860,42.18250357,4.230713824,106.4485274,0.0090753,10.66848972,913,0
40,6/14/1994,M14860,42.3134357,2.883506388,99.47881666,0.0093975,11.22741095,850,0
41,6/15/1994,M14860,40.92131568,2.294998012,113.1562846,0.0081266,11.28911352,841,0
42,6/16/1994,M14860,40.85254108,4.6371418,79.32693218,0.0090932,6.800536873,827,0
43,6/17/1994,M14860,47.13704023,4.500019814,77.35407974,0.0087889,12.62818074,931,0
44,6/18/1994,M14860,39.91157627,4.245339238,85.80022409,0.0086815,10.90693012,922,0
45,6/19/1994,M14860,34.58900008,3.80688597,79.97154628,0.0085025,6.8072617,920,0
46,6/20/1994,M14860,45.29901546,4.019211498,96.64759326,0.0087889,6.3174632,845,0
47,6/21/1994,M14860,44.12649988,4.515036538,113.0158648,0.0046182,7.22276291,919,0
48,6/22/1994,M14860,38.16401874,4.166959419,107.8072984,0.0082877,5.511066025,924,0
49,6/23/1994,M14860,38.59515684,4.662836343,95.01710968,0.0096481,9.305297879,834,0
50,6/24/1994,M14860,40.69206024,3.487844729,101.0277268,0.0078939,6.119964739,877,0
51,6/25/1994,M14860,47.0669836,4.075858771,117.0071205,0.0008234,11.03730733,912,1
52,6/26/1994,M14860,36.14434766,3.142936289,118.6583583,0.0098271,5.506386514,898,0
53,6/27/1994,M14860,32.02137022,4.158418686,80.94911482,0.0078402,9.923745001,834,0
54,6/28/1994,M14860,34.32601213,4.100940725,77.22788527,0.0062829,8.45684819,846,0
55,6/29/1994,M14860,38.94508617,3.478611713,88.51905415,0.0053879,7.859352803,903,0
56,6/30/1994,M14860,46.32279513,3.176753307,111.5373284,0.0072853,5.216353691,829,0
57,7/1/1994,M14860,42.67368883,4.457835003,67.39051247,0.0075896,10.72612086,904,0
58,7/2/1994,M14860,34.1676749,2.755578142,89.7686483,0.0072137,6.619430674,901,0
59,7/3/1994,M14860,46.50065008,3.462563642,115.6529691,0.0052805,6.294705411,903,0
60,7/4/1994,M14860,35.28959518,2.085299529,110.3149239,0.0097376,5.421047496,894,0
61,7/5/1994,M14860,42.39040968,2.753372113,92.65685753,0.0094154,8.381955971,850,0
62,7/6/1994,M14860,42.91860357,4.004879002,93.09600769,0.0068378,11.84808368,845,0
63,7/7/1994,M14860,44.95036986,3.829004894,120.975483,0.0040991,5.333022086,876,0
64,7/8/1994,M14860,42.57244603,3.900501207,67.28171114,0.0046361,11.30201658,879,0
65,7/9/1994,M14860,32.66182401,2.19454206,125.090304,0.0069094,10.04666131,823,0
66,7/10/1994,M14860,33.17330934,4.536220725,112.9178337,0.0080729,9.023905981,925,0
67,7/11/1994,M14860,35.6097229,3.277024122,86.50123095,0.0051373,8.525255551,864,0
68,7/12/1994,M14860,34.75142486,3.457098336,71.18698969,0.0078939,12.6529786,848,0
69,7/13/1994,M14860,37.76885416,2.195658317,79.29262582,0.0057996,8.644937655,854,0
70,7/14/1994,M14860,36.64529414,3.09853848,67.41770793,0.0117603,8.059454005,902,1
71,7/15/1994,M14860,40.8163591,4.053982365,84.27846626,0.0040454,12.10662691,867,0
72,7/16/1994,M14860,45.81140617,4.823755363,108.3908085,0.0081445,8.205996835,831,0
73,7/17/1994,M14860,46.21674824,2.784771589,115.469841,0.0079476,11.96862566,826,0
74,7/18/1994,M14860,47.57904941,4.494829029,107.9443519,0.006265,10.10309499,843,0
75,7/19/1994,M14860,46.78817111,3.420920846,78.19182996,0.0057817,7.520377184,926,0
76,7/20/1994,M14860,37.9034397,4.106636879,85.6540242,0.0083593,7.634018612,859,0
77,7/21/1994,M14860,42.91553508,4.222761825,120.5694541,0.0085741,10.16575113,858,0
78,7/22/1994,M14860,44.81313995,4.18618343,106.1513751,0.0073927,10.63126904,895,1
79,7/23/1994,M14860,36.55097794,2.716520807,100.3181906,0.0092185,9.558389105,905,0
80,7/24/1994,M14860,39.88540274,2.197441844,95.11732133,0.0067841,5.143473666,906,0
81,7/25/1994,M14860,33.42521874,2.489179045,104.6638508,0.0089321,7.224711411,898,0
82,7/26/1994,M14860,41.26770316,2.32249535,70.01913353,0.0085025,12.50531516,876,0
83,7/27/1994,M14860,47.0526009,3.890123765,86.34733648,0.0073032,12.63313802,911,0
84,7/28/1994,M14860,41.01077441,4.504212216,67.76431494,0.0071779,8.699679151,899,0
85,7/29/1994,M14860,47.64611823,3.261888003,92.3800067,0.0085204,7.992353523,824,0
86,7/30/1994,M14860,47.24451854,4.740004516,112.0366212,0.0047972,9.006480289,862,0
87,7/31/1994,M14860,38.78806592,3.526026996,96.38273662,0.0078581,7.69877377,885,0
88,8/1/1994,M14860,35.72830345,3.83240435,71.51994528,0.0056922,10.84694451,923,0
89,8/2/1994,M14860,43.64401279,4.113609676,108.5760052,0.0080908,11.87203972,916,0
90,8/3/1994,M14860,41.94932543,3.618081659,103.4687505,0.0070705,9.603499462,864,0
91,8/4/1994,M14860,38.11916887,4.139063135,90.71025213,0.0046182,9.834831954,931,0
92,8/5/1994,M14860,32.84918312,2.788469506,78.96128786,0.0044571,12.63224476,829,0
93,8/6/1994,M14860,33.2535372,2.808073827,94.92769419,0.0048509,6.211893562,904,0
94,8/7/1994,M14860,44.5045853,3.369851705,120.4204509,0.007697,6.907583235,878,0
95,8/8/1994,M14860,44.24845383,3.686523545,122.0344173,0.0057101,6.089558803,872,0
96,8/9/1994,M14860,43.72509864,3.986747939,68.58524408,0.0093438,6.40716542,927,0
97,8/10/1994,M14860,37.39482595,2.823092411,70.4518989,0.0063187,9.529030426,918,0
98,8/11/1994,M14860,42.47256027,4.032601849,111.3205544,0.0053521,10.56857121,872,0
99,8/12/1994,M14860,39.1467908,2.625050835,96.7046374,0.0058533,10.89106782,840,0
100,8/13/1994,M14860,33.86201412,4.675122421,106.4306166,0.0079476,11.7531481,835,0
101,8/14/1994,M14860,47.45444434,4.747015094,74.21102219,0.004475,11.23840737,906,0
102,8/15/1994,M14860,44.32332024,2.990128444,109.4665977,0.0037053,8.237979965,874,0
103,8/16/1994,M14860,39.46438913,4.642993283,91.94190162,0.0072674,9.851852816,913,0
104,8/17/1994,M14860,41.12305569,3.24400225,100.7292401,0.0072495,8.307921211,927,0
105,8/18/1994,M14860,36.94061153,2.534556661,82.40146295,0.0077686,11.29367112,870,0
106,8/19/1994,M14860,33.85768764,3.484239134,98.93693788,0.0055669,8.476520765,871,0
107,8/20/1994,M14860,35.60903742,4.483056129,97.46453812,0.0086815,6.222911605,888,0
